1,Sunnyside,Buffalo,New York,1-(716)143-3497,1050,Cardify,Albert,Allen,aallen0@google.nl
2,3rd,El Paso,Texas,1-(915)923-2727,40,Duobam,Kenneth,Washington,kwashington1@foxnews.com
3,Green Ridge,Schenectady,New York,1-(518)899-0792,67680,Alphazap,Philip,Dixon,pdixon2@nba.com
4,Elka,Johnson City,Tennessee,1-(423)723-5349,76225,Latlux,Debra,Russell,drussell3@is.gd
5,Raven,Chicago,Illinois,1-(312)632-3433,389,Keylex,Diane,Hamilton,dhamilton4@about.me
6,Iowa,Phoenix,Arizona,1-(602)425-6180,29,Stringtough,Billy,Thomas,bthomas5@timesonline.co.uk
7,Monument,Hagerstown,Maryland,1-(240)516-3760,36949,Keylex,Jose,Robertson,jrobertson6@state.gov
8,Scoville,Durham,North Carolina,1-(919)277-7535,3203,Toughjoyfax,Ryan,Evans,revans7@hugedomains.com
9,Hanover,Savannah,Georgia,1-(912)211-2152,6,Zoolab,Irene,Fowler,ifowler8@tinypic.com
10,Badeau,Baton Rouge,Louisiana,1-(225)203-6358,4016,Toughjoyfax,Karen,Cole,kcole9@usatoday.com
11,Forest Dale,Minneapolis,Minnesota,1-(651)482-7156,16992,It,Albert,Watkins,awatkinsa@wikia.com
12,Mosinee,Norwalk,Connecticut,1-(203)948-3305,2,Transcof,Russell,Patterson,rpattersonb@scientificamerican.com
13,Gateway,Orlando,Florida,1-(407)857-3959,00694,Latlux,Jose,Carr,jcarrc@icq.com
14,Almo,Amarillo,Texas,1-(806)211-1638,94645,Cardguard,Jesse,Carter,jcarterd@usda.gov
15,Scofield,Seattle,Washington,1-(206)266-8233,410,Gembucket,Joan,Flores,jflorese@usgs.gov
