0,Kathleen,Simpson,Marketing Manager,54-(410)848-8298,ksimpson0@lulu.com,03-Apr-1977,Female,10119,27-Jul-2009,0,0
0,Diane,Bell,Accountant I,45-(879)873-3806,dbell1@taobao.com,20-May-1976,Female,5804,05-Feb-2008,0,0
0,Gregory,Jackson,Geological Engineer,7-(282)308-5968,gjackson2@yahoo.co.jp,29-Jul-1962,Male,5921,07-Jun-2005,0,0
0,Randy,Thomas,Web Developer II,62-(601)913-6641,rthomas3@360.cn,05-Nov-1976,Male,10088,09-Apr-2005,0,1
1,Diana,Fuller,Software Engineer III,970-(813)953-9124,dfuller4@oakley.com,10-Oct-1983,Female,5217,28-Jul-2007,0,0
0,Lori,Lynch,GIS Technical Architect,86-(282)473-7227,llynch5@blogspot.com,09-Aug-1979,Female,8405,11-Feb-2008,1,0
0,Teresa,Barnes,Structural Engineer,47-(445)954-6215,tbarnes6@naver.com,15-Dec-1973,Female,7002,29-Aug-2015,0,
0,Nicholas,Ryan,Food Chemist,225-(189)228-4361,nryan7@ask.com,01-Feb-1978,Male,9869,26-Mar-2010,1,
0,Theresa,Gonzalez,Quality Engineer,62-(429)974-3440,tgonzalez8@yellowbook.com,27-Oct-1973,Female,10268,13-Jan-2015,0,
0,Henry,Reed,Electrical Engineer,86-(349)951-7482,hreed9@about.com,15-Jul-1975,Male,5387,14-Jun-2006,0,0
0,David,Nguyen,Senior Developer,44-(524)159-8742,dnguyena@biglobe.ne.jp,14-Jul-1980,Male,7441,07-Aug-2011,0,0
1,Joseph,Parker,Sales Associate,62-(696)171-8532,jparkerb@apache.org,24-Feb-1988,Male,10780,10-Mar-2010,0,0
0,Carolyn,Carpenter,Chemical Engineer,54-(177)525-1712,ccarpenterc@blogger.com,19-Dec-1988,Female,5945,03-Jul-2007,0,1
1,Evelyn,Baker,Physical Therapy Assistant,385-(609)611-1256,ebakerd@wunderground.com,29-Apr-1971,Female,5976,12-Mar-2012,0,
0,Laura,Webb,Web Designer III,7-(832)102-4199,lwebbe@devhub.com,19-Apr-1981,Female,8125,08-Mar-2011,0,0
0,Keith,Tucker,Analog Circuit Design manager,62-(242)437-0299,ktuckerf@timesonline.co.uk,17-May-1984,Male,8367,18-Aug-2010,1,
0,Evelyn,Gardner,Developer II,261-(625)179-3550,egardnerg@usda.gov,12-Jan-1970,Female,5813,25-Feb-2005,0,
0,Nicholas,Cruz,Structural Analysis Engineer,86-(841)238-7931,ncruzh@mlb.com,04-Jan-1987,Male,8762,23-Mar-2012,0,0
0,Ruth,Cunningham,Chief Design Engineer,33-(920)166-4307,rcunninghami@photobucket.com,23-Sep-1988,Female,7083,07-Feb-2008,1,
0,Linda,Castillo,Geological Engineer,7-(206)638-9508,lcastilloj@ucoz.com,11-Dec-1964,Female,5759,29-Jan-2007,0,0
1,Steve,Howell,Community Outreach Specialist,373-(935)556-4441,showellk@livejournal.com,15-Feb-1989,Male,7728,27-Nov-2009,0,
0,Kevin,Foster,Automation Specialist III,63-(428)167-7759,kfosterl@skype.com,03-Jan-1970,Male,11571,10-Jun-2015,0,
0,Martin,Ruiz,Budget/Accounting Analyst III,212-(454)786-2780,mruizm@ezinearticles.com,19-Apr-1965,Male,7289,29-May-2006,0,0
0,William,Gray,Executive Secretary,998-(116)218-8022,wgrayn@intel.com,14-Sep-1966,Male,11393,30-Jun-2014,0,
1,Joshua,Austin,Product Engineer,86-(532)163-0916,jaustino@digg.com,10-Sep-1965,Male,9300,05-Sep-2010,0,0
0,Marie,Wright,Sales Representative,54-(892)657-5183,mwrightp@multiply.com,03-Jun-1988,Female,9057,11-Dec-2013,0,0
0,Amanda,Perkins,Recruiter,62-(106)155-2436,aperkinsq@bandcamp.com,17-Jul-1985,Female,9762,25-Jan-2010,0,
0,Jessica,Palmer,Environmental Tech,33-(220)225-7900,jpalmerr@blog.com,28-Jun-1984,Female,7871,05-Jun-2006,1,
0,Robert,Meyer,Physical Therapy Assistant,62-(963)206-9775,rmeyers@thetimes.co.uk,02-Apr-1962,Male,8104,17-Jun-2008,0,1
1,Cynthia,Johnson,VP Sales,46-(175)671-6459,cjohnsont@aol.com,27-May-1978,Female,8803,27-Jul-2007,0,0
0,Jennifer,Hamilton,Safety Technician IV,86-(744)939-1144,jhamiltonu@forbes.com,01-Oct-1962,Female,8056,02-Jun-2011,0,0
0,Betty,Snyder,Information Systems Manager,86-(478)884-1832,bsnyderv@de.vu,05-Feb-1973,Female,7724,13-Mar-2010,0,
0,Justin,Wright,Account Executive,256-(205)340-7384,jwrightw@spiegel.de,29-Sep-1975,Male,7280,05-Nov-2006,0,
0,Maria,Crawford,Financial Advisor,55-(262)640-5449,mcrawfordx@nifty.com,04-May-1982,Female,6644,21-Jan-2010,0,1
0,Mary,Hamilton,Account Representative IV,84-(620)448-7456,mhamiltony@pinterest.com,28-Oct-1971,Female,7837,10-Oct-2014,0,
0,Angela,Clark,Payment Adjustment Coordinator,352-(426)806-4044,aclarkz@parallels.com,30-May-1974,Female,6048,20-Nov-2013,0,0
0,Anna,Wells,Pharmacist,48-(601)414-7027,awells10@ameblo.jp,19-Aug-1961,Female,6269,06-Jan-2010,0,0
1,Maria,Campbell,Accounting Assistant I,976-(951)184-8136,mcampbell11@nhs.uk,21-Nov-1979,Female,7682,23-Mar-2010,1,0
0,Alice,Pierce,Sales Representative,81-(908)576-6777,apierce12@ca.gov,20-May-1975,Female,10821,22-May-2007,0,0
0,Howard,Lee,Nuclear Power Engineer,1-(166)274-4539,hlee13@businessweek.com,27-Nov-1981,Male,6235,02-Feb-2007,0,0
0,Bruce,Allen,Statistician III,351-(142)328-8227,ballen14@xrea.com,23-Oct-1967,Male,6358,07-Apr-2008,0,1
0,Rebecca,Hamilton,Professor,61-(162)304-2000,rhamilton15@mozilla.com,01-Aug-1984,Female,6658,10-Jul-2010,1,0
0,Laura,Powell,Quality Engineer,977-(349)366-3027,lpowell16@ucsd.edu,24-Nov-1977,Female,9333,14-May-2012,0,0
0,Ryan,Fisher,Pharmacist,86-(898)441-5587,rfisher17@icio.us,25-Sep-1969,Male,7521,05-Jul-2008,0,0
0,Arthur,Alexander,Marketing Manager,46-(765)960-1834,aalexander18@newsvine.com,09-Jun-1960,Male,6508,19-Nov-2010,0,0
0,Jeffrey,Gutierrez,Assistant Media Planner,374-(494)214-5420,jgutierrez19@google.co.jp,07-Jun-1966,Male,5346,25-Mar-2010,0,
0,Joan,Wells,Human Resources Manager,46-(829)694-0309,jwells1a@altervista.org,02-Jul-1979,Female,5412,14-Nov-2009,0,
1,Tina,Crawford,Professor,86-(387)160-2919,tcrawford1b@instagram.com,08-Nov-1961,Female,11974,23-Oct-2010,0,1
0,Phyllis,Frazier,Senior Quality Engineer,86-(820)582-4515,pfrazier1c@uiuc.edu,17-Sep-1967,Female,10365,22-Jul-2013,0,
0,Paula,Carr,Statistician III,353-(968)645-8150,pcarr1d@unblog.fr,20-Aug-1965,Female,9156,11-Aug-2007,0,0
0,Virginia,Baker,Geologist II,420-(856)569-6061,vbaker1e@pbs.org,28-Sep-1985,Female,11690,10-Apr-2008,0,0
0,Brandon,Harper,Software Engineer IV,998-(137)806-8309,bharper1f@google.com.br,01-Mar-1986,Male,7141,17-Aug-2015,0,
0,Diana,Tucker,Compensation Analyst,62-(598)543-3472,dtucker1g@amazon.co.uk,04-Aug-1981,Female,6733,10-Jun-2010,1,0
0,Harry,Torres,Associate Professor,7-(252)933-0449,htorres1h@loc.gov,03-Jul-1981,Male,6880,21-Apr-2009,0,0
0,Christine,Howard,Financial Analyst,39-(408)240-6464,choward1i@ted.com,06-Dec-1977,Female,5335,22-Jan-2013,0,0
0,Stephen,Harper,Clinical Specialist,234-(713)274-5795,sharper1j@hostgator.com,04-Jul-1984,Male,9882,31-May-2012,0,1
0,Annie,Simmons,Dental Hygienist,86-(708)660-5049,asimmons1k@merriam-webster.com,08-Apr-1979,Female,10654,23-Jul-2014,0,0
0,Aaron,Lewis,Database Administrator IV,81-(249)879-0547,alewis1l@webs.com,09-May-1968,Male,10896,18-Nov-2009,1,0
0,Donald,Bowman,Nuclear Power Engineer,27-(166)480-8846,dbowman1m@hubpages.com,27-Apr-1985,Male,6347,07-Mar-2005,0,1
0,Sean,Coleman,Tax Accountant,86-(827)657-2743,scoleman1n@unc.edu,28-Aug-1965,Male,11884,13-Nov-2008,0,0
0,Chris,Torres,Research Associate,212-(825)312-4024,ctorres1o@addthis.com,25-Sep-1984,Male,6383,29-Jan-2007,0,0
0,Deborah,Perry,Data Coordiator,55-(116)563-3348,dperry1p@icq.com,24-Apr-1980,Female,11337,15-Sep-2011,0,0
0,Eugene,Anderson,Help Desk Operator,51-(967)509-9387,eanderson1q@chron.com,16-Jun-1985,Male,11828,08-Oct-2015,0,0
0,Joyce,Nichols,Mechanical Systems Engineer,63-(421)401-6513,jnichols1r@microsoft.com,31-Oct-1983,Female,7982,08-Apr-2006,0,
0,Clarence,Perez,Recruiter,62-(417)321-5353,cperez1s@jimdo.com,14-Jul-1987,Male,10494,12-Sep-2012,0,0
0,Margaret,Weaver,Community Outreach Specialist,7-(325)679-1052,mweaver1t@blinklist.com,22-Feb-1962,Female,9714,21-Jul-2014,0,1
0,Billy,Harvey,Accountant I,237-(326)131-9111,bharvey1u@webs.com,27-Sep-1979,Male,8394,04-Sep-2009,0,0
0,Laura,Nguyen,Staff Accountant IV,20-(764)393-7241,lnguyen1v@umich.edu,06-Sep-1983,Female,11586,17-Aug-2005,0,
0,Evelyn,Stanley,Financial Analyst,86-(250)528-4642,estanley1w@tamu.edu,18-Nov-1967,Female,5951,08-Mar-2015,0,0
0,John,Stewart,Budget/Accounting Analyst III,1-(619)867-6833,jstewart1x@nps.gov,12-Feb-1972,Male,7619,11-May-2013,1,
